Leeuwarden,Date,   Min_temp,   Max_temp

  270,20171101,   99,  146
  270,20171102,   45,  142
  270,20171103,   58,  113
  270,20171104,   74,  123
  270,20171105,   44,  101
  270,20171106,   18,  109
  270,20171107,   17,   87
  270,20171108,   43,   77
  270,20171109,   49,  109
  270,20171110,   47,  112
  270,20171111,   28,   97
  270,20171112,   23,   80
  270,20171113,   27,  100
  270,20171114,   31,   99
  270,20171115,   93,  104
  270,20171116,   41,  103
  270,20171117,    8,   99
  270,20171118,   53,   88
  270,20171119,   51,   93
  270,20171120,   48,  105
  270,20171121,   94,  113
  270,20171122,   91,  118
  270,20171123,   58,  135
  270,20171124,   16,   92
  270,20171125,   -2,   66
  270,20171126,   22,   76
  270,20171127,   41,   91
  270,20171128,   20,   72
  270,20171129,    2,   67
  270,20171130,  -28,   45
  270,20171201,  -28,   45
  270,20171202,  -28,   32
  270,20171203,   32,   88
  270,20171204,   55,   90
  270,20171205,   72,   87
  270,20171206,   70,   92
  270,20171207,   47,   74
  270,20171208,    7,   59
  270,20171209,    7,   58
  270,20171210,   -1,   16
  270,20171211,  -18,   25
  270,20171212,    9,   60
  270,20171213,    9,   56
  270,20171214,   11,   60
  270,20171215,    8,   29
  270,20171216,   11,   50
  270,20171217,    4,   60
  270,20171218,   -3,   73
  270,20171219,   37,   67
  270,20171220,   43,   78
  270,20171221,   34,   77
  270,20171222,    9,   62
  270,20171223,   62,   80
  270,20171224,   76,   89
  270,20171225,   45,   88
  270,20171226,   39,   70
  270,20171227,   32,   55
  270,20171228,   15,   48
  270,20171229,    3,   61
  270,20171230,   34,   95
  270,20171231,   61,  118
  270,20180101,   40,   79
  270,20180102,   31,   75
  270,20180103,   53,   92
  270,20180104,   58,   91
  270,20180105,   40,   76
  270,20180106,   18,   61
  270,20180107,  -16,   28
  270,20180108,  -24,   22
  270,20180109,  -11,   39
  270,20180110,   38,   68
  270,20180111,   40,   63
  270,20180112,   31,   50
  270,20180113,   23,   50
  270,20180114,    2,   24
  270,20180115,    0,   69
  270,20180116,   25,   62
  270,20180117,   15,   52
  270,20180118,    0,   77
  270,20180119,    1,   52
  270,20180120,   -5,   30
  270,20180121,    0,   59
  270,20180122,   16,   69
  270,20180123,   51,   99
  270,20180124,   67,  121
  270,20180125,   44,   83
  270,20180126,   20,   53
  270,20180127,    3,   79
  270,20180128,   62,  108
  270,20180129,   49,   98
  270,20180130,   17,   70
  270,20180131,   22,   85
  270,20180201,   16,   61
  270,20180202,   13,   65
  270,20180203,   -1,   25
  270,20180204,    8,   31
  270,20180205,  -20,   21
  270,20180206,  -54,    7
  270,20180207,  -62,   17
  270,20180208,  -20,   34
  270,20180209,  -14,   28
  270,20180210,  -12,   53
  270,20180211,   17,   61
  270,20180212,   -2,   57
  270,20180213,  -10,   58
  270,20180214,  -20,   46
  270,20180215,    0,   70
  270,20180216,  -11,   69
  270,20180217,  -40,   66
  270,20180218,  -20,   51
  270,20180219,  -39,   34
  270,20180220,  -46,   52
  270,20180221,  -52,   38
  270,20180222,  -61,   32
  270,20180223,  -47,   27
  270,20180224,  -40,   33
